2025-10-22 16:47:52,454 - INFO - Registering strategy: consolidation_breakout
2025-10-22 16:47:52,462 - INFO - TradeEngine initialized with account balance: 10000.00
2025-10-22 16:47:52,462 - INFO - Processing data for EURUSD=X on 2025-10-20
2025-10-22 16:47:53,787 - INFO - Generating payload for candle at 2025-10-19 23:00:00+00:00. ctx_data length: 1. row_data: {'Adj Close': 1.1657729148864746, 'Close': 1.1657729148864746, 'High': 1.1659088134765625, 'Low': 1.1657729148864746, 'Open': 1.1659088134765625, 'Volume': 0.0}
2025-10-22 16:47:53,789 - INFO - Generating payload for candle at 2025-10-19 23:05:00+00:00. ctx_data length: 2. row_data: {'Adj Close': 1.1659088134765625, 'Close': 1.1659088134765625, 'High': 1.1659088134765625, 'Low': 1.1659088134765625, 'Open': 1.1659088134765625, 'Volume': 0.0}
2025-10-22 16:47:53,790 - INFO - Generating payload for candle at 2025-10-19 23:10:00+00:00. ctx_data length: 3. row_data: {'Adj Close': 1.1659088134765625, 'Close': 1.1659088134765625, 'High': 1.1659088134765625, 'Low': 1.1659088134765625, 'Open': 1.1659088134765625, 'Volume': 0.0}
2025-10-22 16:47:53,793 - INFO - Generating payload for candle at 2025-10-19 23:15:00+00:00. ctx_data length: 4. row_data: {'Adj Close': 1.1659088134765625, 'Close': 1.1659088134765625, 'High': 1.1659088134765625, 'Low': 1.1657729148864746, 'Open': 1.1659088134765625, 'Volume': 0.0}
2025-10-22 16:47:53,796 - INFO - Generating payload for candle at 2025-10-19 23:20:00+00:00. ctx_data length: 5. row_data: {'Adj Close': 1.1661807298660278, 'Close': 1.1661807298660278, 'High': 1.1661807298660278, 'Low': 1.1659088134765625, 'Open': 1.1659088134765625, 'Volume': 0.0}
2025-10-22 16:47:53,799 - INFO - Generating payload for candle at 2025-10-19 23:25:00+00:00. ctx_data length: 6. row_data: {'Adj Close': 1.1661807298660278, 'Close': 1.1661807298660278, 'High': 1.1663167476654053, 'Low': 1.1661807298660278, 'Open': 1.1661807298660278, 'Volume': 0.0}
2025-10-22 16:47:53,801 - INFO - Generating payload for candle at 2025-10-19 23:30:00+00:00. ctx_data length: 7. row_data: {'Adj Close': 1.1661807298660278, 'Close': 1.1661807298660278, 'High': 1.1661807298660278, 'Low': 1.1661807298660278, 'Open': 1.1661807298660278, 'Volume': 0.0}
2025-10-22 16:47:53,802 - INFO - Generating payload for candle at 2025-10-19 23:35:00+00:00. ctx_data length: 8. row_data: {'Adj Close': 1.1663167476654053, 'Close': 1.1663167476654053, 'High': 1.1663167476654053, 'Low': 1.1663167476654053, 'Open': 1.1663167476654053, 'Volume': 0.0}
2025-10-22 16:47:53,808 - INFO - Generating payload for candle at 2025-10-19 23:40:00+00:00. ctx_data length: 9. row_data: {'Adj Close': 1.1664528846740723, 'Close': 1.1664528846740723, 'High': 1.1664528846740723, 'Low': 1.1663167476654053, 'Open': 1.1663167476654053, 'Volume': 0.0}
2025-10-22 16:47:53,812 - INFO - Generating payload for candle at 2025-10-19 23:45:00+00:00. ctx_data length: 10. row_data: {'Adj Close': 1.1661807298660278, 'Close': 1.1661807298660278, 'High': 1.1663167476654053, 'Low': 1.1661807298660278, 'Open': 1.1663167476654053, 'Volume': 0.0}
2025-10-22 16:47:53,814 - INFO - Generating payload for candle at 2025-10-19 23:50:00+00:00. ctx_data length: 11. row_data: {'Adj Close': 1.1661807298660278, 'Close': 1.1661807298660278, 'High': 1.1663167476654053, 'Low': 1.1661807298660278, 'Open': 1.1663167476654053, 'Volume': 0.0}
