2025-10-22 14:31:19,823 - INFO - Registering strategy: consolidation_breakout
2025-10-22 14:31:19,829 - INFO - TradeEngine initialized with account balance: 10000.00
2025-10-22 14:31:19,829 - INFO - Processing data for EURUSD=X on 2025-10-20
2025-10-22 14:31:20,558 - INFO - Generating payload for candle at 2025-10-20 00:40:00+00:00. ctx_data length: 21. row_data: {'Adj Close': 1.1665889024734497, 'Close': 1.1665889024734497, 'High': 1.1665889024734497, 'Low': 1.1664528846740723, 'Open': 1.1664528846740723, 'Volume': 0.0}
2025-10-22 14:31:20,560 - INFO - Generating payload for candle at 2025-10-20 00:45:00+00:00. ctx_data length: 22. row_data: {'Adj Close': 1.1667250394821167, 'Close': 1.1667250394821167, 'High': 1.1667250394821167, 'Low': 1.1667250394821167, 'Open': 1.1667250394821167, 'Volume': 0.0}
2025-10-22 14:31:20,562 - INFO - Generating payload for candle at 2025-10-20 00:50:00+00:00. ctx_data length: 23. row_data: {'Adj Close': 1.1667250394821167, 'Close': 1.1667250394821167, 'High': 1.1667250394821167, 'Low': 1.1665889024734497, 'Open': 1.1667250394821167, 'Volume': 0.0}
2025-10-22 14:31:20,569 - INFO - Generating payload for candle at 2025-10-20 00:55:00+00:00. ctx_data length: 24. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1665889024734497, 'Open': 1.1665889024734497, 'Volume': 0.0}
2025-10-22 14:31:20,572 - INFO - Generating payload for candle at 2025-10-20 01:00:00+00:00. ctx_data length: 25. row_data: {'Adj Close': 1.1668611764907837, 'Close': 1.1668611764907837, 'High': 1.1671334505081177, 'Low': 1.1668611764907837, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,575 - INFO - Generating payload for candle at 2025-10-20 01:05:00+00:00. ctx_data length: 26. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1668611764907837, 'Volume': 0.0}
2025-10-22 14:31:20,577 - INFO - Generating payload for candle at 2025-10-20 01:10:00+00:00. ctx_data length: 27. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,578 - INFO - Generating payload for candle at 2025-10-20 01:15:00+00:00. ctx_data length: 28. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,581 - INFO - Generating payload for candle at 2025-10-20 01:20:00+00:00. ctx_data length: 29. row_data: {'Adj Close': 1.1668611764907837, 'Close': 1.1668611764907837, 'High': 1.1668611764907837, 'Low': 1.1667250394821167, 'Open': 1.1668611764907837, 'Volume': 0.0}
2025-10-22 14:31:20,586 - INFO - Generating payload for candle at 2025-10-20 01:25:00+00:00. ctx_data length: 30. row_data: {'Adj Close': 1.1665889024734497, 'Close': 1.1665889024734497, 'High': 1.1667250394821167, 'Low': 1.1665889024734497, 'Open': 1.1667250394821167, 'Volume': 0.0}
2025-10-22 14:31:20,588 - INFO - Generating payload for candle at 2025-10-20 01:30:00+00:00. ctx_data length: 31. row_data: {'Adj Close': 1.1664528846740723, 'Close': 1.1664528846740723, 'High': 1.1664528846740723, 'Low': 1.1664528846740723, 'Open': 1.1664528846740723, 'Volume': 0.0}
2025-10-22 14:31:20,590 - INFO - Generating payload for candle at 2025-10-20 01:35:00+00:00. ctx_data length: 32. row_data: {'Adj Close': 1.16604483127594, 'Close': 1.16604483127594, 'High': 1.1661807298660278, 'Low': 1.16604483127594, 'Open': 1.1661807298660278, 'Volume': 0.0}
2025-10-22 14:31:20,591 - INFO - Generating payload for candle at 2025-10-20 01:40:00+00:00. ctx_data length: 33. row_data: {'Adj Close': 1.1661807298660278, 'Close': 1.1661807298660278, 'High': 1.1661807298660278, 'Low': 1.16604483127594, 'Open': 1.16604483127594, 'Volume': 0.0}
2025-10-22 14:31:20,593 - INFO - Generating payload for candle at 2025-10-20 01:45:00+00:00. ctx_data length: 34. row_data: {'Adj Close': 1.1665889024734497, 'Close': 1.1665889024734497, 'High': 1.1665889024734497, 'Low': 1.1661807298660278, 'Open': 1.1661807298660278, 'Volume': 0.0}
2025-10-22 14:31:20,595 - INFO - Generating payload for candle at 2025-10-20 01:50:00+00:00. ctx_data length: 35. row_data: {'Adj Close': 1.1665889024734497, 'Close': 1.1665889024734497, 'High': 1.1667250394821167, 'Low': 1.1665889024734497, 'Open': 1.1665889024734497, 'Volume': 0.0}
2025-10-22 14:31:20,597 - INFO - Generating payload for candle at 2025-10-20 01:55:00+00:00. ctx_data length: 36. row_data: {'Adj Close': 1.1664528846740723, 'Close': 1.1664528846740723, 'High': 1.1665889024734497, 'Low': 1.1664528846740723, 'Open': 1.1665889024734497, 'Volume': 0.0}
2025-10-22 14:31:20,599 - INFO - Generating payload for candle at 2025-10-20 02:00:00+00:00. ctx_data length: 37. row_data: {'Adj Close': 1.1667250394821167, 'Close': 1.1667250394821167, 'High': 1.1667250394821167, 'Low': 1.1664528846740723, 'Open': 1.1664528846740723, 'Volume': 0.0}
2025-10-22 14:31:20,602 - INFO - Generating payload for candle at 2025-10-20 02:05:00+00:00. ctx_data length: 38. row_data: {'Adj Close': 1.1668611764907837, 'Close': 1.1668611764907837, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1668611764907837, 'Volume': 0.0}
2025-10-22 14:31:20,605 - INFO - Generating payload for candle at 2025-10-20 02:10:00+00:00. ctx_data length: 39. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1671334505081177, 'Low': 1.1668611764907837, 'Open': 1.1668611764907837, 'Volume': 0.0}
2025-10-22 14:31:20,607 - INFO - Generating payload for candle at 2025-10-20 02:15:00+00:00. ctx_data length: 40. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1671334505081177, 'Low': 1.1671334505081177, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,609 - INFO - Generating payload for candle at 2025-10-20 02:20:00+00:00. ctx_data length: 41. row_data: {'Adj Close': 1.1672697067260742, 'Close': 1.1672697067260742, 'High': 1.1672697067260742, 'Low': 1.1669973134994507, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,610 - INFO - Generating payload for candle at 2025-10-20 02:25:00+00:00. ctx_data length: 42. row_data: {'Adj Close': 1.1672697067260742, 'Close': 1.1672697067260742, 'High': 1.1672697067260742, 'Low': 1.1671334505081177, 'Open': 1.1672697067260742, 'Volume': 0.0}
2025-10-22 14:31:20,612 - INFO - Generating payload for candle at 2025-10-20 02:30:00+00:00. ctx_data length: 43. row_data: {'Adj Close': 1.1674060821533203, 'Close': 1.1674060821533203, 'High': 1.1674060821533203, 'Low': 1.1671334505081177, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,615 - INFO - Generating payload for candle at 2025-10-20 02:35:00+00:00. ctx_data length: 44. row_data: {'Adj Close': 1.1672697067260742, 'Close': 1.1672697067260742, 'High': 1.1674060821533203, 'Low': 1.1672697067260742, 'Open': 1.1672697067260742, 'Volume': 0.0}
2025-10-22 14:31:20,617 - INFO - Generating payload for candle at 2025-10-20 02:40:00+00:00. ctx_data length: 45. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1672697067260742, 'Low': 1.1671334505081177, 'Open': 1.1672697067260742, 'Volume': 0.0}
2025-10-22 14:31:20,619 - INFO - Generating payload for candle at 2025-10-20 02:45:00+00:00. ctx_data length: 46. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,621 - INFO - Generating payload for candle at 2025-10-20 02:50:00+00:00. ctx_data length: 47. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,623 - INFO - Generating payload for candle at 2025-10-20 02:55:00+00:00. ctx_data length: 48. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1668611764907837, 'Volume': 0.0}
2025-10-22 14:31:20,625 - INFO - Generating payload for candle at 2025-10-20 03:00:00+00:00. ctx_data length: 49. row_data: {'Adj Close': 1.1668611764907837, 'Close': 1.1668611764907837, 'High': 1.1668611764907837, 'Low': 1.1668611764907837, 'Open': 1.1668611764907837, 'Volume': 0.0}
2025-10-22 14:31:20,627 - INFO - Generating payload for candle at 2025-10-20 03:05:00+00:00. ctx_data length: 50. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,628 - INFO - Generating payload for candle at 2025-10-20 03:10:00+00:00. ctx_data length: 51. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,630 - INFO - Generating payload for candle at 2025-10-20 03:15:00+00:00. ctx_data length: 52. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,633 - INFO - Generating payload for candle at 2025-10-20 03:20:00+00:00. ctx_data length: 53. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1671334505081177, 'Low': 1.1671334505081177, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,636 - INFO - Generating payload for candle at 2025-10-20 03:25:00+00:00. ctx_data length: 54. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,639 - INFO - Generating payload for candle at 2025-10-20 03:30:00+00:00. ctx_data length: 55. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,641 - INFO - Generating payload for candle at 2025-10-20 03:35:00+00:00. ctx_data length: 56. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1671334505081177, 'Volume': 0.0}
